title,director
Happy Endings,
Hostel: Part III,Scott Spiegel
I Am Sam,Jessie Nelson
Love Jones,Theodore Witcher
Million Dollar Baby,Clint Eastwood
Mosquita y Mari,Aurora Guerrero
Never Back Down 2: The Beatdown,Michael Jai White
Ninja Assassin,James McTeigue
Ouran High School Host Club,Takuya Igarashi
Population 436,Michelle MacLaren
Racket Boys,
Seven Souls in the Skull Castle: Season Moon Jogen,Hidenori Inoue
Seven Souls in the Skull Castle: Season Moon Kagen,Hidenori Inoue
Sniper: Legacy,Don Michael Paul
Starsky & Hutch,Todd Phillips
Streets of Fire,Walter Hill
Super Monsters: Once Upon a Rhyme,Steve Ball
Swordfish,Dominic Sena
The Adventures of Sonic the Hedgehog,
The Four Seasons,Alan Alda
The Girl King,Mika Kaurismäki
The Interpreter,Sydney Pollack
The Meddler,Lorene Scafaria
The Mirror Has Two Faces,Barbra Streisand
The Outlaw Josey Wales,Clint Eastwood
The Platform,
The Wedding Guest,Michael Winterbottom
The Wind,Emma Tammi
Then Came You,Peter Hutchings
Welcome Home,George Ratliff
Dirty John,
Bo Burnham: Inside,Bo Burnham
One Lagos Night,Ekene Som Mekwunye
Collateral Beauty,David Frankel
Dog Gone Trouble,Kevin Johnson
The Kominsky Method,
The Least Expected Day: Inside the Movistar Team 2019,"José Larraza, Marc Pons"
Word of Honor,Gary Sing
Black Space,
Blue Miracle,Julio Quintana
Eden,
Ghost Lab,Paween Purijitpanya
Ragnarok,
Soy Rada: Serendipity,Pablo Faro
The Day I lost My Shadow,Soudade Kaadan
Baggio: The Divine Ponytail,Letizia Lamartire
Gatao - The Last Stray,Ray Jiang
High on the Hog: How African American Cuisine Transformed America,
JoJo's Bizarre Adventure,
Nail Bomber: Manhunt,Daniel Vernon
A Place in the Stars,Steve Gukas
Home,Tim Johnson
Mad for Each Other,
Master of None,
Sam Smith: Love Goes - Live at Abbey Road Studios,
99 Songs,Vishwesh Krishnamoorthy
99 Songs (Tamil),
99 Songs (Telugu),
Army of the Dead,Zack Snyder
Creating an Army of the Dead,
Jurassic World Camp Cretaceous,
Strain,Uduak-Obong Patrick
The Neighbor,
678,Mohamed Diab
Asmaa,Amr Salama
Hating Peter Tatchell,Christopher Amos
Little Singham Future mein Satakli,Prakash Satam
Special,
Spy Kids: All the Time in the World,Robert Rodriguez
Taxi No. 9211,Milan Luthria
Sabotage,David Ayer
Small Town Crime,"Eshom Nelms, Ian Nelms"
The Last Days,James Moll
The Magic School Bus,
Who Killed Sara?,
Amy Tan: Unintended Memoir,James Redford
Sardar Ka Grandson,Kaashvie Nair
Sleight,J.D. Dillard
Ahaan,Nikhil Pherwani
Booba: Food Puzzle,
Love or Money,Mae Czarina Cruz
Alma Matters,
Cinema Bandi,Praveen Kandregula
Ferry,Cecilia Verheyden
Halston,Daniel Minahan
Haunted,
I Am All Girls,Donovan Marsh
Jungle Beat: The Movie,Brent Dawes
"Love, Death & Robots",
Move to Heaven,
Table Manners,Leli Maki
The Mystic River,Uzodinma Okpechi
The Strange House,Daniel Prochaska
The Upshaws - The Afterparty,
The Woman in the Window,Joe Wright
Castlevania,
Layer Cake,Matthew Vaughn
Tottaa Pataaka Item Maal,Aditya Kripalani
Wave of Cinema: Filosofi Kopi,Adriano Rudiman
Dance of the Forty One,David Pablos
Oxygen,Alexandre Aja
The Upshaws,
Use For My Talent,Cai Cong
Dear Affy,Samuel Olatunji
Illegal Woman,Ramon Térmens
"Money, Explained",
Deadly Switch,Svetlana Cvetko
Mine,
Nayattu,Martin Prakkat
Sleepless,Baran bo Odar
Super Me,Zhang Chong
Have You Ever Seen Fireflies? - Theatre Play,Yılmaz Erdoğan
In Our Mothers' Gardens,Shantrelle P. Lewis
Jupiter's Legacy,
Milestone,Ivan Ayr
Monster,Anthony Mandler
Sab Jholmaal Hai,Vijay Roche
The Circle - The Afterparty,
Time to Dance,Stanley Menino D'Costa
Unrest,Jennifer Brea
And Tomorrow the Entire World,Julia von Heinz
Dead Man Down,Niels Arden Oplev
Framing John DeLorean,"Don Argott, Sheena M. Joyce"
Lava Ka Dhaava,
The Sons of Sam: A Descent into Darkness,Joshua Zeman
Selena: The Series,
StartUp,
The Clovehitch Killer,Duncan Skiles
Trash Truck,
Aliens Stole My Body,Sean McNamara
Angelina Ballerina,
Au coeur des gangs,Vondie Curtis-Hall
Barney and Friends,
Best of the Best,Robert Radler
Dead Again in Tombstone,Roel Reiné
Due Date,Todd Phillips
Fun with Dick & Jane,Dean Parisot
Green Zone,Paul Greengrass
Hachi: A Dog's Tale,Lasse Hallström
JT LeRoy,Justin Kelly
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath, Conrad Vernon"
Miniforce: Super Dino Power,
Motu Patlu in Dragon's World,Suhas Kadav
Motu Patlu in the Game of Zones,Suhas Kadav
Motu Patlu in Wonderland,Suhas Kadav
Motu Patlu: Deep Sea Adventure,Suhas Kadav
Motu Patlu: Mission Moon,Suhas Kadav
Mystic River,Clint Eastwood
Never Back Down,Jeff Wadlow
S.M.A.R.T Chase,Charles Martin
Sitting in Limbo,Stella Corradi
Stargate,Roland Emmerich
State of Play,Kevin Macdonald
Swiped,Ann Deborah Fishman
The Darkest Hour,Chris Gorak
The Lovely Bones,Peter Jackson
The Sweetest Thing,Roger Kumble
The Whole Nine Yards,Jonathan Lynn
The Whole Truth,Courtney Hunt
The Yeti Adventures,"Pierre Greco, Nancy Florence Savard"
Under Siege,Andrew Davis
Zack and Miri Make a Porno,Kevin Smith
Pet Stars,
Seven,Tosin Igho
The Disciple,Chaitanya Tamhane
The Innocent,Oriol Paulo
The Mitchells vs. The Machines,"Mike Rianda, Jeff Rowe"
The Strangers: Prey at Night,Johannes Roberts
The Unremarkable Juanquini,
Things Heard & Seen,"Robert Pulcini, Shari Springer Berman"
Yasuke,
Get the Grift,Pedro Antonio
Headspace Guide to Sleep,
Sexify,
August: Osage County,John Wells
Battle: Los Angeles,Jonathan Liebesman
Between Worlds,Maria Pulera
Fatma,
One,Santhosh Viswanath
Ram Prasad Ki Tehrvi,Seema Pahwa
Shadow and Bone - The Afterparty,
Among Family,Ozan Açıktan
Dedemin Fisi,Meltem Bozoflu
Deliha,Hakan Algül
Düğün Dernek,"Selçuk Aydemir, Birkan Pusa"
Dügün Dernek 2: Sünnet,Selçuk Aydemir
G.O.R.A,Ömer Faruk Sorak
Hayat Öpücügü,Şenol Sönmez
Heroes: Silence and Rock & Roll,Alexis Morante
Kara Bela,Burak Aksak
Kocan Kadar Konus,Kıvanç Baruönü
Kocan Kadar Konus 2: Dirilis,Kıvanç Baruönü
Legal Hash,Rindala Kodeih
Let's Fight Ghost,Kongkiat Khomsiri
My Travel Buddy,Bedran Güzel
Niyazi Gül Dörtnala,Hakan Algül
One Like It,Marwan Nabil
Perfume Imaginary Museum “Time Warp”,"MIKIKO, Daito Manabe"
Shadow and Bone,
This Lady Called Life,Kayode Kasum
Vizontele,"Yılmaz Erdoğan, Ömer Faruk Sorak"
HOMUNCULUS,Takashi Shimizu
Life in Color with David Attenborough,
Searching For Sheela,
Stowaway,Joe Penna
Wild Dog,Ahishor Solomon
Oloibiri,Curtis Graham
Tell Me When,Gerardo Gatica
Zero,
Izzy's Koala World,
Keymon and Nani in Space Adventure,
Motu Patlu Dino Invasion,Suhas Kadav
Motu Patlu in Octupus World,Suhas Kadav
Motu Patlu VS Robo Kids,Suhas Kadav
Rudra: Secret of the Black Moon,"Akshay Sanjeev Chavan, Sumit Das"
Rudra: The Rise of King Pharaoh,
Free to Play,
Luis Miguel - The Series,
Miss Sloane,John Madden
PJ Masks,
American Me,Edward James Olmos
Delhi Belly,Abhinay Deo
Dhobi Ghat (Mumbai Diaries),Kiran Rao
Jaane Tu... Ya Jaane Na,Abbas Tyrewala
Lagaan,Ashutosh Gowariker
Madness in the Desert,Satyajit Bhatkal
Peepli Live,"Anusha Rizvi, Mahmood Farooqui"
Taare Zameen Par,Aamir Khan
Ajeeb Daastaans,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani"
Arlo the Alligator Boy,Ryan Crego
Bakugan: Geogan Rising,
Barbie & Chelsea: The Lost Birthday,Cassi Simonds
Crimson Peak,Guillermo del Toro
Dad Stop Embarrassing Me - The Afterparty,
Doctor Bello,Tony Abulu
Four Sisters Before the Wedding,Mae Czarina Cruz
Into the Beat,Stefan Westerwelle
Love Naggers,
Rush,Ron Howard
Synchronic,"Justin Benson, Aaron Moorhead"
The Zookeeper's Wife,Niki Caro
Time Trap,"Mark Dennis, Ben Foster"
Tuesdays & Fridays,Taranveer Singh
Dancing Angels,
Dark City Beneath the Beat,TT The Artist
Durarara!!,
GANTZ:O,"Keiichi Sato, Yasushi Kawamura"
Garth Brooks: The Road I’m On,Glenn Weiss
Gilmore Girls,
High-Rise Invasion,
Next in Fashion,
Only Mine,Michael Civille
Peasants Rebellion,
Power Players,
Ricky Zoom,
Ride or Die,Ryuichi Hiroki
Sonic X,
The Master,Paul Thomas Anderson
Time Is Illmatic,One9
Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman
Zoot Suit,Luis Valdez
Ajaibnya Cinta,
Dad Stop Embarrassing Me!,
Fate: The Winx Saga,
House of Cards,
Indian Matchmaking,
Jeffrey Epstein: Filthy Rich,
Law School,
Living with Yourself,
Signal,
Slasher,
The Soul,Cheng Wei-hao
The Underclass,Pass Patthanakumjon
Unnatural Selection,
Uppena,Buchi Babu Sana
Why Did You Kill Me?,Fredrick Munk
Motu Patlu in Hong Kong: Kung Fu Kings 3,Suhas Kadav
Motu Patlu in the City of Gold,Suhas Kadav
Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers,Suhas Kadav
Motu Patlu the Superheroes – Super Villains from Mars,Suhas Kadav
My Love: Six Stories of True Love,"Moyoung Jin, Caroline Sá, Deepti Kakkar, Fahad Mustafa, Hikaru Toda, Chico Pereira, Elaine McMillion Sheldon"
Shiva VS Autobots,Suhas Kadav
Shiva: Journey to Plunotaria,Suhas Kadav
Shiva: The Secret World Of Vedas City,Suhas Kadav
The Baker and the Beauty,
New Gods: Nezha Reborn,Zhao Ji
"Nicky, Ricky, Dicky & Dawn",
Don't be the First one,
The Stand-In,Jamie Babbit
Heaven Official's Blessing,
Night in Paradise,Park Hoon-jung
Ojukokoro: Greed,Dare Olaitan
Roohi,Hardik Mehta
Thunder Force,Ben Falcone
Two Distant Strangers,"Travon Free, Martin Desmond Roe"
Story of Kale: When Someone's in Love,Angga Dwimas Sasongko
The Way of the Househusband,
Dolly Parton: A MusiCares Tribute,
The Big Day,
The Wedding Coach,
This Is a Robbery: The World's Biggest Art Heist,
The Last Kids on Earth: Happy Apocalypse to You,Steve Rolston
Coded Bias,Shalini Kantayya
Mandela,Madonne Ashwin
The Fisherman's Diary,Enah Johnscott
What Lies Below,Braden R. Duemmler
Escape from Planet Earth,Cal Brunker
Accepted,Steve Pink
Air Strike,Xiao Feng
An American Girl: McKenna Shoots for the Stars,Vince Marcello
Concrete Cowboy,Ricky Staub
Cross: Rise of the Villains,"Patrick Durham, Paul G. Volk"
God Calling,BB Sasore
Irul,Naseef Yusuf Izuddin
Just Say Yes,"Appie Boudellah, Aram van de Rest"
Madame Claude,Sylvie Verheyde
Wild Child,Nick Moore
Woody Woodpecker,Alex Zamm
2012,Roland Emmerich
3 Idiots,Rajkumar Hirani
Ferrari Ki Sawaari,Rajesh Mapuskar
Glimpses of a Future,
Ibrahim a Fate to Define,Lina Al Abed
Insidious,James Wan
Into the Grizzly Maze,David Hackl
Kingsglaive: Final Fantasy XV,Takeshi Nozue
Legally Blonde,Robert Luketic
Madam Chief Minister,Subhash Kapoor
Magical Andes,
Maximum Risk,Ringo Lam
Murder Maps,
My Fair Lady,George Cukor
Prank Encounters,
S.W.A.T.: Under Siege,Tony Giglio
Secrets of Great British Castles,
Seven Souls in the Skull Castle: Season Bird,Hidenori Inoue
Seven Souls in the Skull Castle: Season Flower,Hidenori Inoue
Seven Souls in the Skull Castle: Season Wind,Hidenori Inoue
Sniper: Ghost Shooter,Don Michael Paul
Starship Troopers: Traitor of Mars,"Shinji Aramaki, Masaru Matsumoto"
Takers,John Luessenhop
Tersanjung the Movie,"Hanung Bramantyo, Pandu Adjisurya"
The Knight and the Princess,Bashir El Deek
The Pianist,Roman Polański
The Stepfather,Nelson McCormick
Universal Soldier: The Return,Mic Rodgers
Wazir,Bejoy Nambiar
White Boy,Shawn Rech
Worn Stories,
Yes Man,Peyton Reed
At Eternity's Gate,Julian Schnabel
Haunted: Latin America,Adrián García Bogliano
Not a Game,Jose Gomez
Robocar Poli,
Yu-Gi-Oh!,
7 Yards: The Chris Norton Story,Jonathon Link
Octonauts & the Ring of Fire,Blair Simmons
Rainbow High,
Mandela: Long Walk to Freedom,Justin Chadwick
Lawless,John Hillcoat
Marked,Nadine Ibrahim
A Week Away,Roman White
Bad Trip,
Big Time Rush,
Black Is Beltza,Fermín Muguruza
Croupier,Mike Hodges
Elizabeth and Margaret: Love and Loyalty,
Keeping the Bees,Eylem Kaftan
Magic for Humans Spain,
Ni de coña,Fernando Ayllón
Pagglait,Umesh Bist
The Irregulars,
Caught by a Wave,Massimiliano Camaiti
DOTA: Dragon's Blood,
Pui Pui Molcar,
Secret Magic Control Agency,Aleksey Tsitsilin
Seaspiracy,Ali Tabrizi
Loyiso Gola: Unlearning,Kagiso Lediga
Men on a Mission,Jung-ah Im
Navillera,
Philomena,Stephen Frears
Any Crybabies Around?,Takuma Sato
Hospital,Brody Chu
Jiu Jitsu,Dimitri Logothetis
Mighty Morphin Power Rangers,
Alien TV,
Country Comfort,
Formula 1: Drive to Survive,
Reframe THEATER EXPERIENCE with you,Taketoshi Sado
The Yin Yang Master,Li Weiran
Who's the Boss,Chinaza Onuzo
B: The Beginning,
Deadly Illusions,Anna Elizabeth James
Get the Goat,Vitor Brandt
Nate Bargatze: The Greatest Average American,Troy Miller
Skylines,Liam O'Donnell
The Fluffy Movie,"Manny Rodriguez, Jay Lavender"
The Present,Farah Nabulsi
Wave of Cinema: 90's Generation,Adriano Rudiman
Catch.er,Walter Taylaur
Operation Varsity Blues: The College Admissions Scandal,Chris Smith
Under Suspicion: Uncovering the Wesphael Case,Alain Brunard
Get on Up,Tate Taylor
RebellComedy: Straight Outta the Zoo,Ladislaus Kiraly
Savages,Oliver Stone
Waffles + Mochi,
Abla Fahita: Drama Queen,
C/O Kaadhal,Hemambar Jasti
The BFG,Steven Spielberg
The Last Blockbuster,Taylor Morden
The Lost Pirate Kingdom,
Zero Chill,
Audrey,Helena Coan
Çarsi Pazar,Muharrem Gülmez
Just In Time,Dolapo Adeleke
Love Alarm,
Mucize,Mahsun Kırmızıgül
Paper Lives,Can Ulkay
Paradise PD,
Quiet,Luis Alejandro Pérez
Romantik Komedi,Ketche
Romantik Komedi 2: Bekarlığa Veda,Erol Özlevi
The One,
YES DAY,Miguel Arteta
You're Everything To Me,Tolga Örnek
Coven of Sisters,Pablo Agüero
Generasi 90an: Melankolia,Mohammad Irfan Ramly
The Block Island Sound,"Kevin McManus, Matthew McManus"
Dealer,"Ange Basterga, Nicolas Lopez"
Last Chance U: Basketball,
Marriage or Mortgage,
The Houseboat,
Bombay Begums,
Bombay Rose,Gitanjali Rao
My Way,
Aelay,Halitha Shameem
City of Ghosts,
Dogwashers,Carlos Moreno
Fate of Alakada,Kayode Kasum
Nevenka: Breaking the Silence,Maribel Sánchez-Maroto
Pokémon Journeys: The Series,
Sentinelle,Julien Leclercq
Mariposa,Fajar Bustomi
Pacific Rim: The Black,
Parker,Taylor Hackford
Safe Haven,Lasse Hallström
Moxie,Amy Poehler
Murder Among the Mormons,"Jared Hess, Tyler Measom"
Black or White,Mike Binder
Indoo Ki Jawani,Abir Sengupta
Word Party,
A Perfect Day For Arsenide,Sunny Lau
Banyuki,Hidenori Inoue
Biggie: I Got a Story to Tell,Emmett Malloy
Blanche Gardin: The All-Nighter,"Xavier Maingon, Marc-Antoine Hélard"
Connected,Milton Kremer
Dances with Wolves,Kevin Costner
How to Be Really Bad,Marco Petry
LEGO Marvel Spider-Man: Vexed by Venom,"Andrew Duncan, Ken Cunningham"
Rain Man,Barry Levinson
Seven Souls in the Skull Castle 2011,Hidenori Inoue
Tenacious D in The Pick of Destiny,Liam Lynch
TIGER & BUNNY,
Bigfoot Family,"Jérémie Degruson, Ben Stassen"
Captain Fantastic,Matt Ross
Crazy About Her,Dani de la Orden
Fuga,Pablo Larraín
Ginny & Georgia - The Afterparty,
No Escape,John Erick Dowdle
Our Idiot Brother,Jesse Peretz
The Girl on the Train,Ribhu Dasgupta
Tony Manero,Pablo Larraín
Who Am I,Baran bo Odar
El final del paraíso,
Geez & Ann,Rizki Balki
Sin senos sí hay paraíso,
The Last Bastion,
Age of Samurai: Battle for Japan,
"Blue, Painful, Fragile",Shunsuke Kariyama
Canine Intervention,
Ginny & Georgia,
M8 - When Death Rescues Life,Jeferson De
Two Sentence Horror Stories,
Brian Regan: On the Rocks,Troy Miller
Made You Look: A True Story About Fake Art,Barry Avrich
Pelé,"David Tryhorn, Ben Nicholas"
Red,Tirumala Kishore
Zindagi in Short,
The Conjuring,James Wan
The Conjuring 2,James Wan
Vincenzo,
Classmates Minus,Huang Hsin-Yao
Fate: The Winx Saga - The Afterparty,
Operation Finale,Chris Weitz
Wave of Cinema: Surat dari Timur,Saron Sakina
I Care a Lot,J Blakeson
Love,Khalid Rahman
Perú: Tesoro escondido,Luis Ara
Pitta Kathalu,"Tharun Bhascker Dhaassyam, B. V. Nandini Reddy, Nag Ashwin, Sankalp Reddy"
Tribes of Europa,
Eeb Allay Ooo!,Prateek Vats
"Hello, Me!",
No Escape Room,Alex Merkin
Sisyphus,
Thus Spoke Kishibe Rohan,
Amend: The Fight for America,
Behind Her Eyes,
MeatEater,
The Most Unknown,Ian Cheney
Animals on the Loose: A You vs. Wild Movie,Ben Simms
Awara Paagal Deewana,Vikram Bhatt
Good Girls,
The Resurrection of Gavin Stone,Dallas Jenkins
Booba,
"My Teacher, My Obsession",Damián Romay
The Crew,
Namaste Wahala,Hamisha Daryani Ahuja
Monsoon,Hong Khaou
Buried by the Bernards,
Chappelle's Show,
Hate by Dani Rovira,Mario Briongos
Mundina Nildana,Vinay Bharadwaj
Nadiya Bakes,
To All The Boys: Always And Forever,Michael Fimognari
Xico's Journey,Eric D. Cabello Díaz
Capitani,
El Chema,
Growing up and other problems,Clara Martínez-Lázaro
Layla Majnun,Monty Tiwa
Middle of Nowhere,Ava DuVernay
Red Dot,Alain Darborg
Squared Love,Filip Zylber
This Is the Life,Ava DuVernay
Crime Scene: The Vanishing at the Cecil Hotel,Joe Berlinger
The Misadventures of Hedi and Cokeman,Julien Royal
The World We Make,Brian Baugh
Five Came Back: The Reference Films,
ICarly,
War Dogs,Todd Phillips
Monster Run,Henri Wong
The Sinner,
Blanche Gardin: I talk to myself,Maïa Sandoz
Doob: No Bed of Roses,Mostofa Sarwar Farooki
Hache,
Invisible City,
Little Big Women,Joseph Hsu
Malcolm & Marie,Sam Levinson
Space Sweepers,Jo Sung-hee
"Strip Down, Rise Up",Michèle Ohayon
The Last Paradiso,Rocco Ricciardulli
The Yin-Yang Master: Dream Of Eternity,Guo Jingming
All My Friends Are Dead,Jan Belcl
Black Beach,Esteban Crespo
Firefly Lane,
"Pablo Escobar, el patrón del mal",
Power Rangers Ninja Steel,
"Our Lady of San Juan, Four Centuries of Miracles",Noé González
Tiffany Haddish Presents: They Ready,
Beverly Hills Ninja,Dennis Dugan
Heartland,
Love Daily,
My Dead Ex,
Rocks,Sarah Gavron
Shutter Island,Martin Scorsese
The Bank Job,Roger Donaldson
The House Arrest of Us,Richard Arellano
The Unsettling,
Total Drama,
Zac and Mia,
Zathura,Jon Favreau
Zig & Sharko,
Fatima,Marco Pontecorvo
Hell Fest,Gregory Plotkin
Below Zero,Lluís Quílez
Finding ‘Ohana,Jude Weng
The Dig,Simon Stone
We Are: The Brooklyn Saints,
June & Kopi,Noviandra Santosa
50M2,
Accomplice,Jeremy Grant
BONDING,
Kilometers and Kilometers,Jeo Baby
Outlander,
Penguin Bloom,Glendyn Ivin
Black Rose,Okey Oku
Go Dog Go,
Hire a Woman,Ifeanyi Ikpoenyi
She Is,Chris Eneng Enaji
Blown Away,
Busted!,
Demon Slayer: Kimetsu no Yaiba,
So My Grandma’s a Lesbian!,Ángeles Reiné
The Next Three Days,Paul Haggis
The White Tiger,Ramin Bahrani
Friendsgiving,Nicol Paone
The Shadow of Violence,Nick Rowland
Cut Throat City,RZA
Daughter From Another Mother,
Sightless,Cooper Karl
Spycraft,
Hello Ninja,
Homefront,Gary Fleder
A Monster Calls,J.A. Bayona
Death of Me,Darren Lynn Bousman
Radium Girls,"Lydia Dean Pilcher, Ginny Mohler"
Bling Empire,
Carmen Sandiego,
Disenchantment,
Double Dad,Cris D'Amato
Henry Danger,
Outside the Wire,Mikael Håfström
Penguins of Madagascar: The Movie,"Eric Darnell, Simon J. Smith"
Pinkfong & Baby Shark's Space Adventure,Byeon Hee-sun
The Magicians,
The Vanished,Peter Facinelli
Tribhanga - Tedhi Medhi Crazy,Renuka Shahane
What Would Sophia Loren Do?,Ross Kauffman
Wish You,Sung Do-jun
Tanda Tanya,Hanung Bramantyo
The Heartbreak Club,"Charles Gozali, Bagus Bramanti"
An Imperfect Murder,James Toback
Night Stalker: The Hunt for a Serial Killer,Tiller Russell
Al acecho,Francisco D'Eufemia
Chris Rock Total Blackout: The Tamborine Extended Cut,Chris Rock
Last Tango in Halifax,Juliet May
"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson
The Intouchables,"Olivier Nakache, Éric Toledano"
Apaharan,Prakash Jha
BluffMaster!,Rohan Sippy
Charming,Ross Venokur
Creating The Queen's Gambit,
Gangaajal,Prakash Jha
Inside the World’s Toughest Prisons,
Is Love Enough? Sir,Rohena Gera
Mighty Little Bheem: Kite Festival,
Pretend It’s a City,
Stuck Apart,
The Idhun Chronicles,Maite Ruiz De Austri
100% Halal,Jastis Arimba
Leap!,"Eric Summer, Éric Warin"
Pieces of a Woman,Kornél Mundruczó
Ratones Paranoicos: The Band that Rocked Argentina,"Alejandro Ruax, Ramiro Martínez"
Surviving Death,
Tony Parker: The Final Shot,Florent Bodin
History of Swear Words,
Nailed It! Mexico,
Hello Brother,Sohail Khan
Korean Pork Belly Rhapsody,
QB1: Beyond the Lights,
Playing for Keeps,Gabriele Muccino
Asphalt Burning,Hallvard Bræin
Bad Grandpa .5,Jeff Tremaine
Case 39,Christian Alvart
Cobra Kai,
Dream Home Makeover,
Eddie Murphy: Raw,Robert Townsend
Full Out 2: You Got This!,Jeff Deverett
Gimme Shelter,Ron Krauss
Good Burger,Brian Robbins
Good Hair,Jeff Stilson
Headspace Guide to Meditation,
Into the Wild,Sean Penn
Jenni Rivera: Mariposa de Barrio,
London Heist,Mark McQueen
Mean Girls 2,Melanie Mayron
Monarca,
Mystic Pizza,Donald Petrie
Running Man,
The Cat in the Hat Knows a Lot About That!,Tony Collingwood
The Creative Brain,"Jennifer Beamish, Toby Trackman"
The Haunted Hathaways,
The Minimalists: Less Is Now,
Unknown,Jaume Collet-Serra
What Happened to Mr. Cha?,Kim Dong-kyu
What's Eating Gilbert Grape,Lasse Hallström
Alaska Is a Drag,Shaz Bennett
Best of Stand-Up 2020,
Bobby Jasoos,Samar Shaikh
Chilling Adventures of Sabrina,
